#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,tree,"lists directory contents like trees. Used by vifm."
,libnotify,"allows desktop notifications."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,i3blocks,"is the status bar."
,mpv,"is the patrician's choice video player."
,networkmanager,"does exactly what it sounds like."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,alacritty,"is the best terminal ever."
,dmenu,"is the best suckless utility."
,lightdm,"is my favorite display manager."
,lightdm-gtk-greeter,"goes with lightdm."
,alsa-utils,"for controlling audio levels."
,zsh,"a shell."
,openssh,"for connecting to other computers."
,xorg-xset,"can disable the annoying beeping."
,feh,"an image viewer."
,man-db,"the standard man pages."
,man-pages,"the linux man pages."
,qutebrowser,"the best browser ever."
,ttf-hack,"is my terminal font."
,ttf-font-awesome,"beautiful unicode characters"
,sxhkd,"is a shortcut manager."
,conky,"is a desktop heads up display."
,fortune-mod,"prints a random fortune."
,fzf,"is a fuzzy finder OwO."
,nodejs,"is for coc."
,yarn,"is for coc."
A,compton-tryone-git,"is the compton composite manager with more features."
